DATAFLOW,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2014,84.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2015,84.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2016,84.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2017,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2018,84.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2010,80.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2011,81.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2012,81.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2013,81.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2014,81.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2015,81.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2016,82.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2017,81.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PL,2018,81.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2010,83.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2011,83.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2012,83.6,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2013,84.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2014,84.4,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2015,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2016,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2017,84.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,PT,2018,84.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2010,77.7,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2011,78.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2012,78.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2013,78.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2014,78.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2015,78.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2016,79.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2017,79.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,RO,2018,79.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2010,83.6,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2011,83.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2013,83.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2014,84.2,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2015,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2016,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2017,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SE,2018,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2010,83.1,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2011,83.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2012,83.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2013,83.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2014,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2015,83.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2016,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2017,84.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SI,2018,84.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2010,79.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2011,79.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2012,79.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2013,80.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2014,80.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2015,80.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2016,80.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2017,80.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,SK,2018,80.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2010,82.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2011,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2012,82.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2013,82.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2014,83.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2015,82.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2016,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2017,83.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,UK,2018,83.1,p
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2010,77.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2011,78.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2012,78.4,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2013,78.6,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2014,79.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2015,78.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2016,79.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2017,79.4,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,AT,2018,79.4,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2010,77.5,
